,text,merged_entities
10,i have used the resources at the wellness center for my mental health even before the pandemic and i think it needs help especially sense what happened last semester ,"[{'start': 99, 'end': 165, 'aspects': ['General'], 'sentiments': ['Negative'], 'raw_label': 'General - Suggestion'}]"
11,the therapy sessions offered are not enough. they are always full and i am unable to ever book a session when i need it most. ,"[{'start': 0, 'end': 44, 'aspects': ['Therapy Service'], 'sentiments': ['Negative'], 'raw_labels': ['Therapy Service - Limitation', 'Therapy Service - Negative', 'Therapy Service - Negative']}, {'start': 45, 'end': 126, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Limitation', 'Service Availability - Negative']}]"
12,i’m not sure of any sort of mental health services my school offers,"[{'start': 0, 'end': 67, 'aspects': ['General'], 'sentiments': ['Neutral'], 'raw_labels': ['General - Neutral', 'General - Limitation', 'General - Neutral']}]"
13,more checking in on students’ mental health and easy access to resources,"[{'start': 0, 'end': 44, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_labels': ['Mental Health Service - Suggestion', 'Wellness Service - Suggestion', 'Mental Health Service - Negative']}, {'start': 48, 'end': 72, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Service Availability - Limitation', 'Service Availability - Negative']}]"
14,our therapists need to be more responsible and make more of an effort to reach out to their patients ,"[{'start': 0, 'end': 101, 'aspects': ['Therapy Service'], 'sentiments': ['Negative'], 'raw_labels': ['Therapy Service - Suggestion', 'Therapy Service - Suggestion', 'Therapy Service - Negative']}]"
15,"i would not describe any of it as working well. tedium and bureaucracy abound. six complementary sessions with a provider per academic year isn't enough. general poor communication/knowledge of what's available. met with a case manager once who quit or retired (unclear which) before a second meeting so i had to do the bulk of the intake stuff again. that case manager referred me to services that a therapist providing services through caps didn't know about. all this said, it's not clear to me if these problems are unique to my college, because as best i can tell nobody working in mental health has a good picture of the field. ","[{'start': 79, 'end': 153, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Limitation', 'Service Availability - Limitation', 'Service Availability - Negative']}, {'start': 154, 'end': 211, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Limitation']}, {'start': 542, 'end': 633, 'aspects': [], 'sentiments': [], 'raw_labels': ['General - Negative', 'Mental Health Service - Negative']}, {'start': 0, 'end': 47, 'aspects': ['On-campus Service'], 'sentiments': ['Negative'], 'raw_labels': ['On-campus Service - Negative', 'On-campus Service - Negative']}, {'start': 47, 'end': 78, 'aspects': ['General'], 'sentiments': ['Negative'], 'raw_labels': ['General - Negative', 'General - Negative']}]"
16,they do a good job providing training with where to access and how to provide service.,"[{'start': 0, 'end': 86, 'aspects': ['Service Availability'], 'sentiments': ['Positive'], 'raw_labels': ['Service Availability - Positive', 'On-campus Service - Positive', 'Service Availability - Positive']}]"
17,"well: constantly reminding students of caps, focus on students with poor mental health, lots of opportunities to seek help
poor: limited focus on maintaining good mental health in students","[{'start': 6, 'end': 43, 'aspects': ['On-campus Service'], 'sentiments': ['Positive'], 'raw_label': 'On-campus Service - Positive'}, {'start': 45, 'end': 87, 'aspects': ['Mental Health Service'], 'sentiments': ['Positive'], 'raw_label': 'Mental Health Service - Positive'}, {'start': 88, 'end': 122, 'aspects': ['Service Availability'], 'sentiments': ['Positive'], 'raw_label': 'Service Availability - Positive'}, {'start': 129, 'end': 188, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_label': 'Mental Health Service - Negative'}]"
18,"what’s working wel is they’re heavily connected with external sources. however, i do think they need to hire more psychiatrists so that people can quickly go through real treatment and be prescribed medication. ","[{'start': 0, 'end': 70, 'aspects': ['On-campus Service'], 'sentiments': ['Positive'], 'raw_labels': ['General - Positive', 'On-campus Service - Positive', 'On-campus Service - Positive']}, {'start': 70, 'end': 211, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Service Availability - Limitation', 'Service Availability - Suggestion']}]"
19,"last semester, there was a time where dogs were brought to the library to de-stress around finals. i thought it was nice, but there should be things open for the entire semester/year and be open for everyone, without anything possibly restricting them, such as a dog allergy ","[{'start': 15, 'end': 98, 'aspects': ['Therapy Service'], 'sentiments': ['Positive'], 'raw_label': 'Therapy Service - Positive'}, {'start': 122, 'end': 207, 'aspects': ['Therapy Service'], 'sentiments': ['Negative'], 'raw_label': 'Therapy Service - Negative'}]"
20,able to register for a counseling session and get an appt within 7-10 days,"[{'start': 0, 'end': 74, 'aspects': ['Service Availability'], 'sentiments': ['Positive'], 'raw_labels': ['Service Availability - Positive', 'Service Availability - Positive', 'Counseling Service - Positive']}]"
21,one on one counseling was working well. however this support was short term. i did it for a semester but there is not many options for support for me on campus after that semester.,"[{'start': 0, 'end': 39, 'aspects': ['Counseling Service'], 'sentiments': ['Positive'], 'raw_labels': ['Counseling Service - Positive', 'Counseling Service - Positive', 'Counseling Service - Positive']}, {'start': 40, 'end': 180, 'aspects': [], 'sentiments': [], 'raw_labels': ['Counseling Service - Limitation', 'Service Availability - Limitation']}]"
22,"i have not visited or experienced any of the facilities.
i think caps and the animals are great.","[{'start': 0, 'end': 56, 'aspects': ['General'], 'sentiments': ['Neutral'], 'raw_labels': ['General - Neutral', 'General - Neutral']}, {'start': 57, 'end': 96, 'aspects': ['On-campus Service'], 'sentiments': ['Positive'], 'raw_labels': ['General - Positive', 'On-campus Service - Positive', 'On-campus Service - Positive']}]"
23,i think there are some good options but they are not advertised well at all,"[{'start': 0, 'end': 35, 'aspects': ['On-campus Service'], 'sentiments': ['Positive'], 'raw_labels': ['General - Positive', 'On-campus Service - Positive', 'On-campus Service - Positive']}, {'start': 36, 'end': 75, 'aspects': ['On-campus Service'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'On-campus Service - Limitation', 'On-campus Service - Limitation']}]"
24,"i haven't went to mental-health counseling because i take care of my mental health alone majority of the time, but i would say depression and anxiety are some major aspects of mental health that needs more attention that it already has.","[{'start': 0, 'end': 110, 'aspects': ['General'], 'sentiments': ['Neutral'], 'raw_labels': ['General - Neutral', 'General - Neutral', 'General - Neutral']}, {'start': 111, 'end': 236, 'aspects': [], 'sentiments': [], 'raw_labels': ['Mental Health Service - Negative', 'On-campus Service - Positive', 'Wellness Service - Suggestion']}]"
25,i feel like the college in general is lacking. they advertise they care but i don’t feel like it’s genuine.,"[{'start': 0, 'end': 46, 'aspects': ['General'], 'sentiments': ['Negative'], 'raw_labels': ['General - Negative', 'General - Negative', 'On-campus Service - Negative']}, {'start': 47, 'end': 107, 'aspects': [], 'sentiments': [], 'raw_labels': ['General - Negative', 'On-campus Service - Limitation']}]"
26,i think it’s a great start to have free sessions but there shouldn’t be a cap,"[{'start': 0, 'end': 48, 'aspects': [], 'sentiments': [], 'raw_labels': ['Wellness Service - Positive', 'Mental Health Service - Positive', 'Counseling Service - Positive']}, {'start': 49, 'end': 77, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Limitation', 'Service Availability - Limitation', 'Service Availability - Limitation']}]"
27,unfortunately i am not using any of the mental health/wellness services provided.,"[{'start': 0, 'end': 81, 'aspects': ['General'], 'sentiments': ['Neutral'], 'raw_labels': ['General - Neutral', 'General - Neutral', 'On-campus Service - Neutral']}]"
28,"though i have never attended, i appreciate the let's talk drop-in sessions available through my school. what might need more attention is the availability of counseling sessions, as i remember when i tried to make an appointment back in 2020 there were none available.","[{'start': 30, 'end': 103, 'aspects': ['Wellness Service'], 'sentiments': ['Positive'], 'raw_labels': ['Wellness Service - Positive', 'Wellness Service - Positive', 'On-campus Service - Positive']}, {'start': 104, 'end': 268, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Limitation', 'Service Availability - Suggestion']}]"
29,"osu’s counseling and consultation services is a complete mess. it is advertised as a therapy option, yet students in crisis aren’t able to get in for months, and the help is near useless","[{'start': 63, 'end': 186, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Limitation']}, {'start': 0, 'end': 62, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Limitation', 'Counseling Service - Negative']}]"
30,"caps is kinda diverse, but we could use more people because they're so slow","[{'start': 0, 'end': 22, 'aspects': ['On-campus Service'], 'sentiments': ['Positive'], 'raw_labels': ['On-campus Service - Positive', 'On-campus Service - Positive', 'On-campus Service - Positive']}, {'start': 23, 'end': 75, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Suggestion']}]"
31,not sure i can answer this question as i have not asked for any help. ,"[{'start': 0, 'end': 70, 'aspects': ['General'], 'sentiments': ['Neutral'], 'raw_labels': ['General - Neutral', 'General - Neutral', 'On-campus Service - Neutral']}]"
32,i think the counselors are good but a online thing would help as well.,"[{'start': 0, 'end': 31, 'aspects': ['Counseling Service'], 'sentiments': ['Positive'], 'raw_labels': ['Counseling Service - Positive', 'Counseling Service - Positive', 'Counseling Service - Positive']}, {'start': 32, 'end': 70, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Suggestion', 'Counseling Service - Suggestion', 'Counseling Service - Suggestion']}]"
33,doing more action and spending money rather than emails saying genera statements,"[{'start': 0, 'end': 80, 'aspects': ['General'], 'sentiments': ['Negative'], 'raw_label': 'General - Negative'}]"
34,i think there needs to be more diverse psychologists that can help students. also workshops that should be required for mental health,"[{'start': 0, 'end': 76, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Suggestion', 'Counseling Service - Suggestion', 'Counseling Service - Suggestion']}, {'start': 77, 'end': 133, 'aspects': ['Wellness Service'], 'sentiments': ['Negative'], 'raw_labels': ['Wellness Service - Suggestion', 'Wellness Service - Suggestion', 'Mental Health Service - Suggestion']}]"
35,i have never seen any sort of advertising about available mental health resources.,"[{'start': 0, 'end': 82, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_label': 'Service Availability - Negative'}]"
36,"i think everything is perfect, bucks does a great job regarding mental health.","[{'start': 0, 'end': 78, 'aspects': ['Mental Health Service'], 'sentiments': ['Positive'], 'raw_labels': ['Mental Health Service - Positive', 'Mental Health Service - Positive', 'On-campus Service - Positive']}]"
37,"i have never used any services at rctc, i seek help elsewhere.","[{'start': 0, 'end': 62, 'aspects': ['General'], 'sentiments': ['Neutral'], 'raw_labels': ['General - Neutral', 'General - Neutral', 'On-campus Service - Neutral']}]"
38,we need more zoom meetings about stress and how to handle school,"[{'start': 0, 'end': 64, 'aspects': ['Wellness Service'], 'sentiments': ['Negative'], 'raw_labels': ['Wellness Service - Suggestion', 'Wellness Service - Suggestion', 'Counseling Service - Suggestion']}]"
39,health services at cmu are temporary fixes for the stress that cmu’s workload puts on its students,"[{'start': 0, 'end': 98, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_label': 'Mental Health Service - Negative'}]"
40,"i'm not sure what mental health or wellness services/supports are provided by my college but in general, i've heard that the quality of such services (mental health/wellness) isn't very good quality nor long-lasting. i think the overall sector of it in uga has to be improved and more funded.","[{'start': 105, 'end': 216, 'aspects': [], 'sentiments': [], 'raw_labels': ['General - Negative', 'Wellness Service - Limitation', 'Mental Health Service - Negative']}, {'start': 217, 'end': 292, 'aspects': [], 'sentiments': [], 'raw_labels': ['General - Suggestion', 'On-campus Service - Suggestion', 'Mental Health Service - Suggestion']}, {'start': 0, 'end': 88, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_labels': ['Mental Health Service - Negative', 'Mental Health Service - Negative']}]"
41,"i think some of the counselors are okay at what they do. they're not amazing, but i definitely feel comfortable with them ","[{'start': 0, 'end': 76, 'aspects': [], 'sentiments': [], 'raw_labels': ['Counseling Service - Positive', 'Counseling Service - Neutral', 'Counseling Service - Negative']}, {'start': 82, 'end': 122, 'aspects': ['Counseling Service'], 'sentiments': ['Positive'], 'raw_labels': ['Counseling Service - Positive', 'Counseling Service - Positive']}]"
42,i have not seen anything about them having any mental health help. ,"[{'start': 0, 'end': 67, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_labels': ['General - Neutral', 'Mental Health Service - Negative', 'Mental Health Service - Limitation']}]"
43,i think the triage needs more attention. it seems excessive to wait at least 45 minutes to get help. but their referral plan has excellent rates if you have school insurance. ,"[{'start': 41, 'end': 100, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Limitation', 'Service Availability - Limitation']}, {'start': 101, 'end': 175, 'aspects': [], 'sentiments': [], 'raw_labels': ['General - Positive', 'Mental Health Service - Positive', 'On-campus Service - Positive']}]"
44,i do not know because i have never had mental health issues.,"[{'start': 0, 'end': 60, 'aspects': ['General'], 'sentiments': ['Neutral'], 'raw_labels': ['General - Neutral', 'General - Neutral', 'General - Neutral']}]"
45,"the caps center and black bruin center is working well at ucla to help support students with resources, activities, and counselors regarding mental health.","[{'start': 0, 'end': 155, 'aspects': ['On-campus Service'], 'sentiments': ['Positive'], 'raw_labels': ['On-campus Service - Positive', 'On-campus Service - Positive']}]"
46,in person counseling seems to be working well. the availability and the options for telehealth need to be expanded. ,"[{'start': 0, 'end': 46, 'aspects': ['Counseling Service'], 'sentiments': ['Positive'], 'raw_labels': ['Counseling Service - Positive', 'Counseling Service - Positive', 'Counseling Service - Positive']}, {'start': 47, 'end': 116, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Service Availability - Suggestion', 'Service Availability - Suggestion']}]"
47,i think my college is doing alright when it comes to mental health wellness.,"[{'start': 0, 'end': 76, 'aspects': ['Mental Health Service'], 'sentiments': ['Positive'], 'raw_label': 'Mental Health Service - Positive'}]"
48,counseling as in just hearing about what student had to say really worked well for me personally,"[{'start': 0, 'end': 96, 'aspects': ['Counseling Service'], 'sentiments': ['Positive'], 'raw_labels': ['Counseling Service - Positive', 'Counseling Service - Positive', 'Counseling Service - Positive']}]"
49,they shouldn’t set limits on how many weeks you can see a counselor just cuz staff is limited.,"[{'start': 0, 'end': 94, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Limitation', 'Service Availability - Limitation', 'Service Availability - Suggestion']}, {'start': 73, 'end': 94, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Limitation', 'Service Availability - Limitation']}]"
50,"an aspect of mental health that needs improvement is that mentally ill people sometimes aren’t aware that they are unwell, and may not even consider they need help. others that are aware are presented with hindrance stressors, like jumping through a bunch of hoops just to schedule an appointment. it was through a conversation with my advisor (which took me weeks to meet with because i was avoidant) to get an appointment scheduled with someone at sas. i thought they were my counselor, but they only sent me resources to contact a counselor. which is better than nothing. i do not want to complain. 

i do plan on meeting with a counselor because i’m willing to do whatever at this point to get out of this point of my life, however i don’t feel like making an appointment. i haven’t been able to complete my coursework; why would i prioritize scheduling appointments with counselors? 

so i feel as if the campus community could benefit from easy access to a counselor. i think every human being needs to attend counseling, anyways. the challenge would be to make it not too easy to schedule, otherwise it might be overused, and inefficient. ","[{'start': 890, 'end': 973, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Service Availability - Suggestion', 'Service Availability - Suggestion']}, {'start': 974, 'end': 1146, 'aspects': [], 'sentiments': [], 'raw_labels': ['Mental Health Service - Suggestion', 'Service Availability - Suggestion']}]"
51,counselors are always available. sometimes it is hard for students to reach out first.,"[{'start': 0, 'end': 32, 'aspects': ['Service Availability'], 'sentiments': ['Positive'], 'raw_labels': ['Counseling Service - Positive', 'Service Availability - Positive', 'Service Availability - Positive']}, {'start': 33, 'end': 86, 'aspects': ['General'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'General - Negative', 'General - Limitation']}]"
52,sails department for special needs students and online students are a great asset for asu and more attention is needed to maintain good standards with them,"[{'start': 0, 'end': 89, 'aspects': ['On-campus Service'], 'sentiments': ['Positive'], 'raw_labels': ['On-campus Service - Positive', 'General - Positive', 'On-campus Service - Positive']}, {'start': 94, 'end': 155, 'aspects': [], 'sentiments': [], 'raw_labels': ['Service Availability - Suggestion', 'General - Positive', 'On-campus Service - Suggestion']}]"
53,i think there needs to be more options for online students. i get all the info about on campus options but i’m not ever on campus - i’m an out of state student. ,"[{'start': 0, 'end': 59, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Service Availability - Suggestion']}, {'start': 60, 'end': 129, 'aspects': [], 'sentiments': [], 'raw_labels': ['Mental Health Service - Limitation', 'On-campus Service - Positive']}]"
54,"i can't say i've used any services personally, but i know there's always signs and posters for the cougar counseling and the texting line thing that they have, and that seems good. ","[{'start': 51, 'end': 116, 'aspects': ['Counseling Service'], 'sentiments': ['Positive'], 'raw_label': 'Counseling Service - Positive'}, {'start': 121, 'end': 158, 'aspects': ['Hotline Service'], 'sentiments': ['Positive'], 'raw_label': 'Hotline Service - Positive'}]"
55,"i haven’t interacted with my schools mental health resources; however, they’ve generally done well in terms to providing physical health resources like fitness classes","[{'start': 71, 'end': 167, 'aspects': ['Wellness Service'], 'sentiments': ['Positive'], 'raw_labels': ['Wellness Service - Positive', 'Wellness Service - Positive', 'Wellness Service - Positive']}]"
56,seans house is nice they have counselors and support animals i think there just needs to be more on site counseling and also let students know where that is,"[{'start': 0, 'end': 60, 'aspects': [], 'sentiments': [], 'raw_labels': ['Counseling Service - Positive', 'Wellness Service - Positive', 'Mental Health Service - Positive']}, {'start': 61, 'end': 115, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Suggestion', 'Counseling Service - Suggestion']}, {'start': 120, 'end': 156, 'aspects': [], 'sentiments': [], 'raw_labels': ['Service Availability - Suggestion', 'Mental Health Service - Suggestion']}]"
57,i am not sure. i don’t feel like i am getting any help with my mental health,"[{'start': 0, 'end': 76, 'aspects': ['General'], 'sentiments': ['Negative'], 'raw_label': 'General - Negative'}]"
58,the counseling on-campus helps students out everyday. fiu should focus more on online counseling because the pandemic forces students to stay home,"[{'start': 0, 'end': 53, 'aspects': ['Counseling Service'], 'sentiments': ['Positive'], 'raw_labels': ['Counseling Service - Positive', 'Counseling Service - Positive', 'On-campus Service - Positive']}, {'start': 52, 'end': 146, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Suggestion', 'Counseling Service - Suggestion', 'Service Availability - Suggestion']}]"
59,"i’m an online student, and i haven’t heard too much about many mental health services offered. i don’t know if it’s because i am an online student and it just isn’t as available to online students compared to on-campus students, but i think there should be options to have video appointments, and maybe have those professionals be able to look into referrals to professionals in that student’s area, so they can receive local help as well. ","[{'start': 232, 'end': 291, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Counseling Service - Limitation', 'Service Availability - Suggestion']}, {'start': 296, 'end': 440, 'aspects': [], 'sentiments': [], 'raw_labels': ['General - Suggestion', 'Service Availability - Limitation', 'Counseling Service - Suggestion']}]"
60,i am not really sure since i use my own mental health and wellness services.,"[{'start': 0, 'end': 76, 'aspects': ['General'], 'sentiments': ['Neutral'], 'raw_labels': ['General - Neutral', 'General - Neutral', 'General - Neutral']}]"
61,there needs to be more and faster availability to counseling on campus ,"[{'start': 0, 'end': 71, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Service Availability - Suggestion', 'Service Availability - Suggestion']}]"
62,i have not attempted to use any mental health resource because i am primarily an online student ,"[{'start': 0, 'end': 96, 'aspects': ['General'], 'sentiments': ['Neutral'], 'raw_labels': ['General - Neutral', 'General - Neutral', 'General - Neutral']}]"
63,"the fact that i know multiple people who were told they needed more support than mit could provide and then just completely ghosted is absolutely abhorrent. if someone so desperately needs help that the counseling services at the school aren't able to provide it, they absolutely should be doing everything in their power to connect that person with off campus resources that can help them immediately. ","[{'start': 0, 'end': 156, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_label': 'Counseling Service - Negative'}, {'start': 264, 'end': 402, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_label': 'Counseling Service - Suggestion'}]"
64,"there seem to be many services, but many of the people running them are students who aren't sure of what they're doing.","[{'start': 0, 'end': 30, 'aspects': ['Service Availability'], 'sentiments': ['Positive'], 'raw_labels': ['Service Availability - Positive', 'Mental Health Service - Positive', 'Service Availability - Positive']}, {'start': 32, 'end': 119, 'aspects': [], 'sentiments': [], 'raw_labels': ['On-campus Service - Negative', 'Service Availability - Limitation', 'Counseling Service - Limitation']}]"
65,i feel as if there desperately needs to be more diversity on the counselling team as well as more response to student input. i feel like certain counsellors (jan park) are very harmful to students and simply need to be checked. i think the college does a good job of providing a little bit to everyone but this spreads it thin.,"[{'start': 0, 'end': 124, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Suggestion', 'Service Availability - Suggestion', 'Counseling Service - Suggestion']}, {'start': 125, 'end': 227, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Negative', 'Counseling Service - Negative', 'Counseling Service - Negative']}, {'start': 228, 'end': 326, 'aspects': ['On-campus Service'], 'sentiments': ['Positive'], 'raw_labels': ['On-campus Service - Positive', 'On-campus Service - Positive', 'Wellness Service - Positive']}]"
66,none really if you reach out to counseling and have problems that can’t be fixed in 2 talks you are told you have to many problems and no one is going to have problems that can be fixed fast if you are going for depression or anxiety bc that’s just not how it works,"[{'start': 12, 'end': 130, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_label': 'Counseling Service - Negative'}, {'start': 135, 'end': 265, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_label': 'Mental Health Service - Negative'}]"
67,none i’ve been to health counselling several times and the counsellor always ends up leaving cwru after a year. or i just don’t match well with the counsellor ,"[{'start': 0, 'end': 159, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Negative', 'Counseling Service - Limitation', 'Service Availability - Limitation']}]"
68,"i have never used counseling services at asu; however, i have highly considered giving it a try. i would like more attention on being physically ""at peace"" (i.e. coming to terms with how you look, accepting your body).","[{'start': 0, 'end': 96, 'aspects': ['Counseling Service'], 'sentiments': ['Neutral'], 'raw_label': 'Counseling Service - Neutral'}]"
69,i dont use them much so i dont know which are working well. they need more attention to allowing more sessions for students,"[{'start': 0, 'end': 60, 'aspects': ['General'], 'sentiments': ['Neutral'], 'raw_labels': ['General - Neutral', 'General - Neutral']}, {'start': 60, 'end': 123, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Service Availability - Suggestion', 'Service Availability - Suggestion']}]"
70,there are not enough counselors and i have heard so many stories (including my own experience) where friends have wanted to go to counseling services and they are told they have to wait months to book an appointment,"[{'start': 0, 'end': 215, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Limitation']}]"
71,"i honestly do not know, as all of my classes became online only. ive just been at home ","[{'start': 0, 'end': 86, 'aspects': ['General'], 'sentiments': ['Neutral'], 'raw_labels': ['General - Neutral', 'General - Neutral', 'General - Neutral']}]"
