sample_id,text,merged_entities,gold_struct,candidates_final
11,the therapy sessions offered are not enough. they are always full and i am unable to ever book a session when i need it most. ,"[{'start': 0, 'end': 44, 'aspects': ['Therapy Service'], 'sentiments': ['Negative'], 'raw_labels': ['Therapy Service - Limitation', 'Therapy Service - Negative', 'Therapy Service - Negative']}, {'start': 45, 'end': 126, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Limitation', 'Service Availability - Negative']}]","{'aspect_set': ['Service Availability', 'Therapy Service'], 'by_aspect': {'Therapy Service': {'label': 'Negative', 'evidence': [{'span': [0, 44]}]}, 'Service Availability': {'label': 'Negative', 'evidence': [{'span': [45, 126]}]}}}","[""Service Availability"", ""Therapy Service""]"
13,more checking in on students’ mental health and easy access to resources,"[{'start': 0, 'end': 44, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_labels': ['Mental Health Service - Suggestion', 'Wellness Service - Suggestion', 'Mental Health Service - Negative']}, {'start': 48, 'end': 72, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Service Availability - Limitation', 'Service Availability - Negative']}]","{'aspect_set': ['Mental Health Service', 'Service Availability'], 'by_aspect': {'Mental Health Service': {'label': 'Negative', 'evidence': [{'span': [0, 44]}]}, 'Service Availability': {'label': 'Negative', 'evidence': [{'span': [48, 72]}]}}}","[""Mental Health Service"", ""Service Availability""]"
14,our therapists need to be more responsible and make more of an effort to reach out to their patients ,"[{'start': 0, 'end': 101, 'aspects': ['Therapy Service'], 'sentiments': ['Negative'], 'raw_labels': ['Therapy Service - Suggestion', 'Therapy Service - Suggestion', 'Therapy Service - Negative']}]","{'aspect_set': ['Therapy Service'], 'by_aspect': {'Therapy Service': {'label': 'Negative', 'evidence': [{'span': [0, 101]}]}}}","[""Therapy Service""]"
15,"i would not describe any of it as working well. tedium and bureaucracy abound. six complementary sessions with a provider per academic year isn't enough. general poor communication/knowledge of what's available. met with a case manager once who quit or retired (unclear which) before a second meeting so i had to do the bulk of the intake stuff again. that case manager referred me to services that a therapist providing services through caps didn't know about. all this said, it's not clear to me if these problems are unique to my college, because as best i can tell nobody working in mental health has a good picture of the field. ","[{'start': 79, 'end': 153, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Limitation', 'Service Availability - Limitation', 'Service Availability - Negative']}, {'start': 154, 'end': 211, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Limitation']}, {'start': 542, 'end': 633, 'aspects': [], 'sentiments': [], 'raw_labels': ['General - Negative', 'Mental Health Service - Negative']}, {'start': 0, 'end': 47, 'aspects': ['On-campus Service'], 'sentiments': ['Negative'], 'raw_labels': ['On-campus Service - Negative', 'On-campus Service - Negative']}, {'start': 47, 'end': 78, 'aspects': ['General'], 'sentiments': ['Negative'], 'raw_labels': ['General - Negative', 'General - Negative']}]","{'aspect_set': ['General', 'On-campus Service', 'Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Negative', 'evidence': [{'span': [79, 153]}, {'span': [154, 211]}]}, 'On-campus Service': {'label': 'Negative', 'evidence': [{'span': [0, 47]}]}, 'General': {'label': 'Negative', 'evidence': [{'span': [47, 78]}]}}}","[""General"", ""On-campus Service"", ""Service Availability""]"
16,they do a good job providing training with where to access and how to provide service.,"[{'start': 0, 'end': 86, 'aspects': ['Service Availability'], 'sentiments': ['Positive'], 'raw_labels': ['Service Availability - Positive', 'On-campus Service - Positive', 'Service Availability - Positive']}]","{'aspect_set': ['Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Positive', 'evidence': [{'span': [0, 86]}]}}}","[""Service Availability""]"
17,"well: constantly reminding students of caps, focus on students with poor mental health, lots of opportunities to seek help
poor: limited focus on maintaining good mental health in students","[{'start': 6, 'end': 43, 'aspects': ['On-campus Service'], 'sentiments': ['Positive'], 'raw_label': 'On-campus Service - Positive'}, {'start': 45, 'end': 87, 'aspects': ['Mental Health Service'], 'sentiments': ['Positive'], 'raw_label': 'Mental Health Service - Positive'}, {'start': 88, 'end': 122, 'aspects': ['Service Availability'], 'sentiments': ['Positive'], 'raw_label': 'Service Availability - Positive'}, {'start': 129, 'end': 188, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_label': 'Mental Health Service - Negative'}]","{'aspect_set': ['Mental Health Service', 'On-campus Service', 'Service Availability'], 'by_aspect': {'On-campus Service': {'label': 'Positive', 'evidence': [{'span': [6, 43]}]}, 'Mental Health Service': {'label': 'MIXED', 'evidence': [{'span': [45, 87]}, {'span': [129, 188]}]}, 'Service Availability': {'label': 'Positive', 'evidence': [{'span': [88, 122]}]}}}","[""Mental Health Service"", ""On-campus Service"", ""Service Availability""]"
18,"what’s working wel is they’re heavily connected with external sources. however, i do think they need to hire more psychiatrists so that people can quickly go through real treatment and be prescribed medication. ","[{'start': 0, 'end': 70, 'aspects': ['On-campus Service'], 'sentiments': ['Positive'], 'raw_labels': ['General - Positive', 'On-campus Service - Positive', 'On-campus Service - Positive']}, {'start': 70, 'end': 211, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Service Availability - Limitation', 'Service Availability - Suggestion']}]","{'aspect_set': ['On-campus Service', 'Service Availability'], 'by_aspect': {'On-campus Service': {'label': 'Positive', 'evidence': [{'span': [0, 70]}]}, 'Service Availability': {'label': 'Negative', 'evidence': [{'span': [70, 211]}]}}}","[""On-campus Service"", ""Service Availability""]"
19,"last semester, there was a time where dogs were brought to the library to de-stress around finals. i thought it was nice, but there should be things open for the entire semester/year and be open for everyone, without anything possibly restricting them, such as a dog allergy ","[{'start': 15, 'end': 98, 'aspects': ['Therapy Service'], 'sentiments': ['Positive'], 'raw_label': 'Therapy Service - Positive'}, {'start': 122, 'end': 207, 'aspects': ['Therapy Service'], 'sentiments': ['Negative'], 'raw_label': 'Therapy Service - Negative'}]","{'aspect_set': ['Therapy Service'], 'by_aspect': {'Therapy Service': {'label': 'MIXED', 'evidence': [{'span': [15, 98]}, {'span': [122, 207]}]}}}","[""Therapy Service""]"
20,able to register for a counseling session and get an appt within 7-10 days,"[{'start': 0, 'end': 74, 'aspects': ['Service Availability'], 'sentiments': ['Positive'], 'raw_labels': ['Service Availability - Positive', 'Service Availability - Positive', 'Counseling Service - Positive']}]","{'aspect_set': ['Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Positive', 'evidence': [{'span': [0, 74]}]}}}","[""Service Availability""]"
21,one on one counseling was working well. however this support was short term. i did it for a semester but there is not many options for support for me on campus after that semester.,"[{'start': 0, 'end': 39, 'aspects': ['Counseling Service'], 'sentiments': ['Positive'], 'raw_labels': ['Counseling Service - Positive', 'Counseling Service - Positive', 'Counseling Service - Positive']}, {'start': 40, 'end': 180, 'aspects': [], 'sentiments': [], 'raw_labels': ['Counseling Service - Limitation', 'Service Availability - Limitation']}]","{'aspect_set': ['Counseling Service'], 'by_aspect': {'Counseling Service': {'label': 'Positive', 'evidence': [{'span': [0, 39]}]}}}","[""Counseling Service""]"
23,i think there are some good options but they are not advertised well at all,"[{'start': 0, 'end': 35, 'aspects': ['On-campus Service'], 'sentiments': ['Positive'], 'raw_labels': ['General - Positive', 'On-campus Service - Positive', 'On-campus Service - Positive']}, {'start': 36, 'end': 75, 'aspects': ['On-campus Service'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'On-campus Service - Limitation', 'On-campus Service - Limitation']}]","{'aspect_set': ['On-campus Service'], 'by_aspect': {'On-campus Service': {'label': 'MIXED', 'evidence': [{'span': [0, 35]}, {'span': [36, 75]}]}}}","[""On-campus Service""]"
25,i feel like the college in general is lacking. they advertise they care but i don’t feel like it’s genuine.,"[{'start': 0, 'end': 46, 'aspects': ['General'], 'sentiments': ['Negative'], 'raw_labels': ['General - Negative', 'General - Negative', 'On-campus Service - Negative']}, {'start': 47, 'end': 107, 'aspects': [], 'sentiments': [], 'raw_labels': ['General - Negative', 'On-campus Service - Limitation']}]","{'aspect_set': ['General'], 'by_aspect': {'General': {'label': 'Negative', 'evidence': [{'span': [0, 46]}]}}}","[""General""]"
26,i think it’s a great start to have free sessions but there shouldn’t be a cap,"[{'start': 0, 'end': 48, 'aspects': [], 'sentiments': [], 'raw_labels': ['Wellness Service - Positive', 'Mental Health Service - Positive', 'Counseling Service - Positive']}, {'start': 49, 'end': 77, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Limitation', 'Service Availability - Limitation', 'Service Availability - Limitation']}]","{'aspect_set': ['Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Negative', 'evidence': [{'span': [49, 77]}]}}}","[""Service Availability""]"
28,"though i have never attended, i appreciate the let's talk drop-in sessions available through my school. what might need more attention is the availability of counseling sessions, as i remember when i tried to make an appointment back in 2020 there were none available.","[{'start': 30, 'end': 103, 'aspects': ['Wellness Service'], 'sentiments': ['Positive'], 'raw_labels': ['Wellness Service - Positive', 'Wellness Service - Positive', 'On-campus Service - Positive']}, {'start': 104, 'end': 268, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Limitation', 'Service Availability - Suggestion']}]","{'aspect_set': ['Service Availability', 'Wellness Service'], 'by_aspect': {'Wellness Service': {'label': 'Positive', 'evidence': [{'span': [30, 103]}]}, 'Service Availability': {'label': 'Negative', 'evidence': [{'span': [104, 268]}]}}}","[""Service Availability"", ""Wellness Service""]"
29,"osu’s counseling and consultation services is a complete mess. it is advertised as a therapy option, yet students in crisis aren’t able to get in for months, and the help is near useless","[{'start': 63, 'end': 186, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Limitation']}, {'start': 0, 'end': 62, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Limitation', 'Counseling Service - Negative']}]","{'aspect_set': ['Counseling Service', 'Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Negative', 'evidence': [{'span': [63, 186]}]}, 'Counseling Service': {'label': 'Negative', 'evidence': [{'span': [0, 62]}]}}}","[""Counseling Service"", ""Service Availability""]"
30,"caps is kinda diverse, but we could use more people because they're so slow","[{'start': 0, 'end': 22, 'aspects': ['On-campus Service'], 'sentiments': ['Positive'], 'raw_labels': ['On-campus Service - Positive', 'On-campus Service - Positive', 'On-campus Service - Positive']}, {'start': 23, 'end': 75, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Suggestion']}]","{'aspect_set': ['On-campus Service', 'Service Availability'], 'by_aspect': {'On-campus Service': {'label': 'Positive', 'evidence': [{'span': [0, 22]}]}, 'Service Availability': {'label': 'Negative', 'evidence': [{'span': [23, 75]}]}}}","[""On-campus Service"", ""Service Availability""]"
32,i think the counselors are good but a online thing would help as well.,"[{'start': 0, 'end': 31, 'aspects': ['Counseling Service'], 'sentiments': ['Positive'], 'raw_labels': ['Counseling Service - Positive', 'Counseling Service - Positive', 'Counseling Service - Positive']}, {'start': 32, 'end': 70, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Suggestion', 'Counseling Service - Suggestion', 'Counseling Service - Suggestion']}]","{'aspect_set': ['Counseling Service'], 'by_aspect': {'Counseling Service': {'label': 'MIXED', 'evidence': [{'span': [0, 31]}, {'span': [32, 70]}]}}}","[""Counseling Service""]"
33,doing more action and spending money rather than emails saying genera statements,"[{'start': 0, 'end': 80, 'aspects': ['General'], 'sentiments': ['Negative'], 'raw_label': 'General - Negative'}]","{'aspect_set': ['General'], 'by_aspect': {'General': {'label': 'Negative', 'evidence': [{'span': [0, 80]}]}}}","[""General""]"
34,i think there needs to be more diverse psychologists that can help students. also workshops that should be required for mental health,"[{'start': 0, 'end': 76, 'aspects': ['Counseling Service'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Suggestion', 'Counseling Service - Suggestion', 'Counseling Service - Suggestion']}, {'start': 77, 'end': 133, 'aspects': ['Wellness Service'], 'sentiments': ['Negative'], 'raw_labels': ['Wellness Service - Suggestion', 'Wellness Service - Suggestion', 'Mental Health Service - Suggestion']}]","{'aspect_set': ['Counseling Service', 'Wellness Service'], 'by_aspect': {'Counseling Service': {'label': 'Negative', 'evidence': [{'span': [0, 76]}]}, 'Wellness Service': {'label': 'Negative', 'evidence': [{'span': [77, 133]}]}}}","[""Counseling Service"", ""Wellness Service""]"
35,i have never seen any sort of advertising about available mental health resources.,"[{'start': 0, 'end': 82, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_label': 'Service Availability - Negative'}]","{'aspect_set': ['Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Negative', 'evidence': [{'span': [0, 82]}]}}}","[""Service Availability""]"
36,"i think everything is perfect, bucks does a great job regarding mental health.","[{'start': 0, 'end': 78, 'aspects': ['Mental Health Service'], 'sentiments': ['Positive'], 'raw_labels': ['Mental Health Service - Positive', 'Mental Health Service - Positive', 'On-campus Service - Positive']}]","{'aspect_set': ['Mental Health Service'], 'by_aspect': {'Mental Health Service': {'label': 'Positive', 'evidence': [{'span': [0, 78]}]}}}","[""Mental Health Service""]"
38,we need more zoom meetings about stress and how to handle school,"[{'start': 0, 'end': 64, 'aspects': ['Wellness Service'], 'sentiments': ['Negative'], 'raw_labels': ['Wellness Service - Suggestion', 'Wellness Service - Suggestion', 'Counseling Service - Suggestion']}]","{'aspect_set': ['Wellness Service'], 'by_aspect': {'Wellness Service': {'label': 'Negative', 'evidence': [{'span': [0, 64]}]}}}","[""Wellness Service""]"
39,health services at cmu are temporary fixes for the stress that cmu’s workload puts on its students,"[{'start': 0, 'end': 98, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_label': 'Mental Health Service - Negative'}]","{'aspect_set': ['Mental Health Service'], 'by_aspect': {'Mental Health Service': {'label': 'Negative', 'evidence': [{'span': [0, 98]}]}}}","[""Mental Health Service""]"
40,"i'm not sure what mental health or wellness services/supports are provided by my college but in general, i've heard that the quality of such services (mental health/wellness) isn't very good quality nor long-lasting. i think the overall sector of it in uga has to be improved and more funded.","[{'start': 105, 'end': 216, 'aspects': [], 'sentiments': [], 'raw_labels': ['General - Negative', 'Wellness Service - Limitation', 'Mental Health Service - Negative']}, {'start': 217, 'end': 292, 'aspects': [], 'sentiments': [], 'raw_labels': ['General - Suggestion', 'On-campus Service - Suggestion', 'Mental Health Service - Suggestion']}, {'start': 0, 'end': 88, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_labels': ['Mental Health Service - Negative', 'Mental Health Service - Negative']}]","{'aspect_set': ['Mental Health Service'], 'by_aspect': {'Mental Health Service': {'label': 'Negative', 'evidence': [{'span': [0, 88]}]}}}","[""Mental Health Service""]"
41,"i think some of the counselors are okay at what they do. they're not amazing, but i definitely feel comfortable with them ","[{'start': 0, 'end': 76, 'aspects': [], 'sentiments': [], 'raw_labels': ['Counseling Service - Positive', 'Counseling Service - Neutral', 'Counseling Service - Negative']}, {'start': 82, 'end': 122, 'aspects': ['Counseling Service'], 'sentiments': ['Positive'], 'raw_labels': ['Counseling Service - Positive', 'Counseling Service - Positive']}]","{'aspect_set': ['Counseling Service'], 'by_aspect': {'Counseling Service': {'label': 'Positive', 'evidence': [{'span': [82, 122]}]}}}","[""Counseling Service""]"
42,i have not seen anything about them having any mental health help. ,"[{'start': 0, 'end': 67, 'aspects': ['Mental Health Service'], 'sentiments': ['Negative'], 'raw_labels': ['General - Neutral', 'Mental Health Service - Negative', 'Mental Health Service - Limitation']}]","{'aspect_set': ['Mental Health Service'], 'by_aspect': {'Mental Health Service': {'label': 'Negative', 'evidence': [{'span': [0, 67]}]}}}","[""Mental Health Service""]"
43,i think the triage needs more attention. it seems excessive to wait at least 45 minutes to get help. but their referral plan has excellent rates if you have school insurance. ,"[{'start': 41, 'end': 100, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'Service Availability - Limitation', 'Service Availability - Limitation']}, {'start': 101, 'end': 175, 'aspects': [], 'sentiments': [], 'raw_labels': ['General - Positive', 'Mental Health Service - Positive', 'On-campus Service - Positive']}]","{'aspect_set': ['Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Negative', 'evidence': [{'span': [41, 100]}]}}}","[""Service Availability""]"
45,"the caps center and black bruin center is working well at ucla to help support students with resources, activities, and counselors regarding mental health.","[{'start': 0, 'end': 155, 'aspects': ['On-campus Service'], 'sentiments': ['Positive'], 'raw_labels': ['On-campus Service - Positive', 'On-campus Service - Positive']}]","{'aspect_set': ['On-campus Service'], 'by_aspect': {'On-campus Service': {'label': 'Positive', 'evidence': [{'span': [0, 155]}]}}}","[""On-campus Service""]"
46,in person counseling seems to be working well. the availability and the options for telehealth need to be expanded. ,"[{'start': 0, 'end': 46, 'aspects': ['Counseling Service'], 'sentiments': ['Positive'], 'raw_labels': ['Counseling Service - Positive', 'Counseling Service - Positive', 'Counseling Service - Positive']}, {'start': 47, 'end': 116, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Service Availability - Suggestion', 'Service Availability - Suggestion']}]","{'aspect_set': ['Counseling Service', 'Service Availability'], 'by_aspect': {'Counseling Service': {'label': 'Positive', 'evidence': [{'span': [0, 46]}]}, 'Service Availability': {'label': 'Negative', 'evidence': [{'span': [47, 116]}]}}}","[""Counseling Service"", ""Service Availability""]"
47,i think my college is doing alright when it comes to mental health wellness.,"[{'start': 0, 'end': 76, 'aspects': ['Mental Health Service'], 'sentiments': ['Positive'], 'raw_label': 'Mental Health Service - Positive'}]","{'aspect_set': ['Mental Health Service'], 'by_aspect': {'Mental Health Service': {'label': 'Positive', 'evidence': [{'span': [0, 76]}]}}}","[""Mental Health Service""]"
48,counseling as in just hearing about what student had to say really worked well for me personally,"[{'start': 0, 'end': 96, 'aspects': ['Counseling Service'], 'sentiments': ['Positive'], 'raw_labels': ['Counseling Service - Positive', 'Counseling Service - Positive', 'Counseling Service - Positive']}]","{'aspect_set': ['Counseling Service'], 'by_aspect': {'Counseling Service': {'label': 'Positive', 'evidence': [{'span': [0, 96]}]}}}","[""Counseling Service""]"
49,they shouldn’t set limits on how many weeks you can see a counselor just cuz staff is limited.,"[{'start': 0, 'end': 94, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Counseling Service - Limitation', 'Service Availability - Limitation', 'Service Availability - Suggestion']}, {'start': 73, 'end': 94, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Limitation', 'Service Availability - Limitation']}]","{'aspect_set': ['Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Negative', 'evidence': [{'span': [0, 94]}, {'span': [73, 94]}]}}}","[""Service Availability""]"
50,"an aspect of mental health that needs improvement is that mentally ill people sometimes aren’t aware that they are unwell, and may not even consider they need help. others that are aware are presented with hindrance stressors, like jumping through a bunch of hoops just to schedule an appointment. it was through a conversation with my advisor (which took me weeks to meet with because i was avoidant) to get an appointment scheduled with someone at sas. i thought they were my counselor, but they only sent me resources to contact a counselor. which is better than nothing. i do not want to complain. 

i do plan on meeting with a counselor because i’m willing to do whatever at this point to get out of this point of my life, however i don’t feel like making an appointment. i haven’t been able to complete my coursework; why would i prioritize scheduling appointments with counselors? 

so i feel as if the campus community could benefit from easy access to a counselor. i think every human being needs to attend counseling, anyways. the challenge would be to make it not too easy to schedule, otherwise it might be overused, and inefficient. ","[{'start': 890, 'end': 973, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Service Availability - Suggestion', 'Service Availability - Suggestion']}, {'start': 974, 'end': 1146, 'aspects': [], 'sentiments': [], 'raw_labels': ['Mental Health Service - Suggestion', 'Service Availability - Suggestion']}]","{'aspect_set': ['Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Negative', 'evidence': [{'span': [890, 973]}]}}}","[""Service Availability""]"
51,counselors are always available. sometimes it is hard for students to reach out first.,"[{'start': 0, 'end': 32, 'aspects': ['Service Availability'], 'sentiments': ['Positive'], 'raw_labels': ['Counseling Service - Positive', 'Service Availability - Positive', 'Service Availability - Positive']}, {'start': 33, 'end': 86, 'aspects': ['General'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Negative', 'General - Negative', 'General - Limitation']}]","{'aspect_set': ['General', 'Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Positive', 'evidence': [{'span': [0, 32]}]}, 'General': {'label': 'Negative', 'evidence': [{'span': [33, 86]}]}}}","[""General"", ""Service Availability""]"
52,sails department for special needs students and online students are a great asset for asu and more attention is needed to maintain good standards with them,"[{'start': 0, 'end': 89, 'aspects': ['On-campus Service'], 'sentiments': ['Positive'], 'raw_labels': ['On-campus Service - Positive', 'General - Positive', 'On-campus Service - Positive']}, {'start': 94, 'end': 155, 'aspects': [], 'sentiments': [], 'raw_labels': ['Service Availability - Suggestion', 'General - Positive', 'On-campus Service - Suggestion']}]","{'aspect_set': ['On-campus Service'], 'by_aspect': {'On-campus Service': {'label': 'Positive', 'evidence': [{'span': [0, 89]}]}}}","[""On-campus Service""]"
53,i think there needs to be more options for online students. i get all the info about on campus options but i’m not ever on campus - i’m an out of state student. ,"[{'start': 0, 'end': 59, 'aspects': ['Service Availability'], 'sentiments': ['Negative'], 'raw_labels': ['Service Availability - Suggestion', 'Service Availability - Suggestion']}, {'start': 60, 'end': 129, 'aspects': [], 'sentiments': [], 'raw_labels': ['Mental Health Service - Limitation', 'On-campus Service - Positive']}]","{'aspect_set': ['Service Availability'], 'by_aspect': {'Service Availability': {'label': 'Negative', 'evidence': [{'span': [0, 59]}]}}}","[""Service Availability""]"
